title,company_name,location,start_date,duration,stipend,ppo,work_mode,region,domain,skills,deadline,degree
Logo Design,Fouses,Work From Home,Immediately,1 Month,1000,Yes,Onsite,Urban,Data Analyst,"Data Analysis, SQL, Project Management, Digital Marketing, Machine Learning",19-10-25,BSc
Graphic Design,Harfun,Gurgaon,Immediately,1 Month,10000,No,Hybrid,Rural,Research,"Digital Marketing, Project Management, C++, Java, Excel",08-10-25,BTech
Marketing,AlignMinds Technologies Private Limited,Kochi,Immediately,1 Month,8000,Yes,Hybrid,Rural,HR,"Data Analysis, Project Management, Digital Marketing, Communication",22-10-25,BSc
Human Resources (HR),Diginnovators Solutions Private Limited,Bangalore,Immediately,1 Month,3000,No,Onsite,Rural,Marketing,"Machine Learning, Communication, HTML/CSS",07-11-25,BTech
Graphic Design,Acture Media,Mumbai,Immediately,1 Month,5000,Yes,Remote,Urban,Data Scientist,"C++, HTML/CSS, Digital Marketing, Java",02-12-25,MTech
Data Entry,Scholarthi,Surat,Immediately,1 Month,2500,No,Remote,Urban,Data Analyst,"Communication, C++, SQL, Data Analysis",08-10-25,PhD
Marketing And HR Analysis,BookMYKlient,Work From Home,Immediately,1 Month,3000,Yes,Onsite,Rural,Research,"Excel, Data Analysis, SQL",23-11-25,MTech
Graphic Design,Investronaut,Pune,Immediately,1 Month,3000,No,Onsite,Rural,Marketing,"Python, Excel, Data Analysis, Machine Learning",28-11-25,BSc
Business Development (Field Work),Munshi (Learn & Serve Private Limited),Work From Home,Immediately,1 Month,12000,Yes,Hybrid,Urban,Finance,"Project Management, C++, Communication, SQL",03-11-25,MBA
AI Development & Research,DataSkience OPC Private Limited,Work From Home,Immediately,1 Month,10000,Yes,Remote,Rural,Data Scientist,"Communication, Machine Learning, Digital Marketing, C++, Excel",30-11-25,PhD
Business Development (Sales),Analytics Training Hub,Delhi,Immediately,1 Month,8000,No,Onsite,Rural,Data Scientist,"Java, C++, Data Analysis, HTML/CSS",14-11-25,MCA
Human Resources (HR),PEPCUS SOFTWARE SERVICES PRIVATE LIMITED,Indore,Immediately,1 Month,5000,Yes,Onsite,Urban,Finance,"C++, Excel, Machine Learning, Project Management",01-10-25,MBA
Digital Marketing,Buss Enhancer,Work From Home,Immediately,1 Month,1000,No,Remote,Rural,Research,"HTML/CSS, Project Management, C++",07-12-25,MTech
Sales,Mosaic Dots,Work From Home,Immediately,1 Month,1000,No,Remote,Rural,Marketing,"Data Analysis, C++, Digital Marketing",09-11-25,PhD
Digital Marketing,BrandVU,Mumbai,Immediately,1 Month,8000,No,Onsite,Urban,Marketing,"Excel, Communication, Java, HTML/CSS",17-09-25,MCA
Graphic Design,Digitalize You,Mumbai,Immediately,1 Month,7000,No,Hybrid,Rural,Data Scientist,"SQL, Data Analysis, Python",15-10-25,BTech
Graphic Design,BookMYKlient,Work From Home,Immediately,1 Month,3000,No,Remote,Rural,Finance,"Project Management, Communication, C++, HTML/CSS, Machine Learning",24-11-25,MCA
Business Development (Sales),Tech Analogy,Work From Home,Immediately,1 Month,1000,Yes,Remote,Urban,Data Scientist,"C++, Python, Machine Learning, Excel",06-12-25,BCA
Human Resources (HR) & Operations,Plunes Healthcare,Gurgaon,Immediately,4,15000,Yes,Remote,Urban,HR,"SQL, HTML/CSS, Data Analysis, Java, Machine Learning",20-09-25,MTech
Teaching (French),GEMA Education Technology Private Limited,Work From Home,Immediately,4,2000,No,Onsite,Rural,HR,"Machine Learning, HTML/CSS, Java, Communication",12-09-25,PhD
Project Training,Endeavor Academy,Work From Home,Immediately,4,10000,No,Hybrid,Urban,Data Analyst,"C++, HTML/CSS, Communication, Data Analysis, SQL",07-12-25,BTech
SEO,WBN Technology Private Limited,Delhi,Immediately,4,3000,Yes,Remote,Urban,Data Scientist,"Java, Machine Learning, Communication, SQL, Project Management",09-10-25,BSc
Video Making/Editing,Group Indigo,Delhi,Immediately,4,5000,No,Hybrid,Rural,Software Development,"Machine Learning, Communication, Digital Marketing, C++",21-10-25,MTech
Operations,White Canvas,Work From Home,Immediately,4,5000,Yes,Hybrid,Urban,Data Scientist,"HTML/CSS, Machine Learning, Python",30-10-25,MCA
Social Media Marketing,"Rachnita Enterprises, Brand - Nikisu",Work From Home,Immediately,4,3000,No,Onsite,Rural,Research,"Excel, Python, SQL, HTML/CSS, Data Analysis",07-11-25,MBA
Human Resources (HR),The Souled Store,Mumbai,Immediately,4,10000,Yes,Remote,Urban,Data Scientist,"Java, Python, C++, Communication",06-11-25,MTech
Graphic Design,Brandshark,Bangalore,Immediately,4,10000,Yes,Remote,Urban,Design,"Communication, SQL, Project Management",08-10-25,MBA
Search Engine Optimization (SEO),Insperon Journal,Work From Home,Immediately,4,3000,Yes,Remote,Rural,Software Development,"Machine Learning, Excel, HTML/CSS, Project Management, C++",10-10-25,BCA
Architecture,Rubix Designs And Contracts LLP,Mumbai,Immediately,4,5000,Yes,Onsite,Urban,Data Scientist,"Data Analysis, Python, Machine Learning, Excel",24-09-25,MBA
Software Testing,BM INNOVATIONS PRIVATE LIMITED,Hyderabad,Immediately,4,2000,Yes,Remote,Rural,Software Development,"Communication, Data Analysis, C++, HTML/CSS",01-12-25,MTech
UI/UX Design,BM INNOVATIONS PRIVATE LIMITED,Hyderabad,Immediately,4,2000,No,Remote,Urban,Research,"Excel, HTML/CSS, Machine Learning, Project Management, SQL",18-11-25,MBA
Digital Marketing,BM INNOVATIONS PRIVATE LIMITED,Hyderabad,Immediately,4,2000,No,Onsite,Rural,Design,"Project Management, Excel, Python, Communication, HTML/CSS",19-11-25,BTech
Content Writing,BM INNOVATIONS PRIVATE LIMITED,Hyderabad,Immediately,4,2000,No,Remote,Urban,Finance,"Project Management, Data Analysis, C++, Machine Learning",10-10-25,BTech
Entrepreneurship,OpeninApp,Bangalore,Immediately,4,15000,No,Remote,Urban,Data Analyst,"Communication, Machine Learning, SQL, Java",03-11-25,MTech
Social Media Marketing,Outliners,Delhi,Immediately,4,8000,Yes,Remote,Rural,Data Scientist,"HTML/CSS, Data Analysis, Python",17-10-25,MBA
Graphic Design,Swashaa,Surat,Immediately,4,10000,No,Remote,Rural,Research,"Communication, Digital Marketing, Data Analysis, Project Management, Excel",21-11-25,BCA
Business Development (Sales),Radar Soft Technologies,Noida,Immediately,4,7000,No,Remote,Urban,Marketing,"Communication, Excel, SQL",19-10-25,BCA
Business & Strategy,Eka.Care,Bangalore,Immediately,4,20000,Yes,Onsite,Urban,Software Development,"Project Management, C++, Digital Marketing, SQL, Excel",03-11-25,BSc
Social Media Marketing,Bizinventive,Bangalore,Immediately,4,5000,Yes,Onsite,Urban,Research,"SQL, Excel, Project Management, Machine Learning",10-10-25,BTech
Media Buying,Ethinos Digital Marketing,Mumbai,Immediately,4,8000,No,Remote,Rural,Design,"HTML/CSS, Java, Project Management, Data Analysis",04-11-25,BCA
Technical Content Writing,Nikhil Lal,Work From Home,Immediately,4,3000,No,Onsite,Rural,HR,"Excel, SQL, Java",30-09-25,MBA
Content Writing,Brandshark,Bangalore,Immediately,4,10000,Yes,Remote,Urban,HR,"Project Management, C++, HTML/CSS, Excel, Data Analysis",18-10-25,BSc
Digital Marketing,ADNext Media,Gurgaon,Immediately,4,6000,Yes,Onsite,Rural,Design,"C++, Excel, Java",19-10-25,PhD
Merchandising,Tech-Tailor Solutions Private Limited,Bangalore,Immediately,4,5000,Yes,Onsite,Urban,Finance,"HTML/CSS, Project Management, Excel",09-11-25,MTech
Digital Marketing,Reachlovenheal Private Limited,Work From Home,Immediately,4,1500,No,Hybrid,Urban,HR,"Machine Learning, SQL, Project Management, Python",02-10-25,BCA
Autocad design,BrainCells (Thought River Edutech Private Limited),Pune,Immediately,4,10000,Yes,Remote,Rural,Finance,"Digital Marketing, HTML/CSS, Project Management, Machine Learning, Communication",19-10-25,PhD
Facebook Marketing,Digibulls,Work From Home,Immediately,4,2000,No,Remote,Rural,Data Analyst,"Machine Learning, C++, HTML/CSS, Project Management",07-10-25,MTech
Marketing And Business Development,The Go-To Guy Consulting Services,Pune,Immediately,4,10000,Yes,Remote,Urban,Finance,"Communication, C++, HTML/CSS",17-09-25,PhD
Social Media Marketing,SkyTrust IT Solutions Private Limited,Delhi,Immediately,4,7000,No,Hybrid,Rural,Software Development,"Project Management, Python, HTML/CSS, Excel",09-11-25,BTech
Social Media Marketing,Wiishbox Consumer Private Limited,Mumbai,Immediately,4,11000,Yes,Remote,Urban,HR,"Project Management, C++, Communication",24-09-25,BCA
Software Testing,Build With Innovation Private Limited,Work From Home,Immediately,4,10000,No,Onsite,Rural,Data Analyst,"Java, Communication, Excel, Digital Marketing",13-11-25,MCA
Fashion Design,Zoovi Outfits,Jaipur,Immediately,4,5000,Yes,Hybrid,Urban,Design,"Java, C++, SQL, Project Management, Machine Learning",02-12-25,MCA
Search Engine Optimization (SEO),Wizda,Bangalore,Immediately,4,10000,Yes,Onsite,Urban,Data Analyst,"Java, Excel, Python, Data Analysis",10-10-25,MCA
Flutter Development,CapriTech Global Services Private Limited,Mumbai,Immediately,4,9000,No,Onsite,Rural,Finance,"Communication, Python, HTML/CSS, Machine Learning, SQL",07-11-25,BSc
Digital Marketing And Ecommerce,RnG,Work From Home,Immediately,4,3000,Yes,Remote,Rural,Data Scientist,"Machine Learning, Communication, HTML/CSS, SQL, C++",23-11-25,MCA
Mass Communication,Talent Max HR & Management Consultants,Indore,Immediately,4,5000,Yes,Hybrid,Rural,Marketing,"Java, Communication, Machine Learning, Digital Marketing, Excel",11-11-25,BCA
Business Analytics,BM INNOVATIONS PRIVATE LIMITED,Hyderabad,Immediately,4,2000,Yes,Remote,Urban,Design,"C++, Python, Machine Learning, Java, Digital Marketing",02-12-25,BSc
Administration Assistant,Heeravathi,Bangalore,Immediately,4,6000,Yes,Onsite,Urban,Design,"Digital Marketing, Java, HTML/CSS, Data Analysis, Python",10-09-25,MBA
Sales,Konwert India Motors Private Limited,Bangalore,Immediately,1 Month,10000,No,Remote,Urban,HR,"HTML/CSS, Java, C++",09-10-25,BSc
Video And Graphic Editing,Grrow.ai,Work From Home,Immediately,1 Month,5000,No,Onsite,Urban,HR,"HTML/CSS, SQL, Communication",28-09-25,PhD
Graphic Design,MHLondon,Noida,Immediately,1 Month,15000,No,Hybrid,Urban,HR,"Excel, Java, Communication, Project Management",01-11-25,BCA
Content Review,ShortHills Tech Private Limited,Delhi,Immediately,1 Month,10000,No,Hybrid,Rural,Finance,"Excel, Python, Java, C++, Digital Marketing",06-11-25,MCA
Archaeology Event Management,Indo Archaeology Research,Work From Home,Immediately,1 Month,Unpaid,Yes,Hybrid,Urban,HR,"Python, Project Management, Machine Learning, Communication, Data Analysis",07-10-25,BCA
Content Writing,Auriga Accounting Private Limited,Work From Home,Immediately,1 Month,1000,No,Hybrid,Urban,Data Scientist,"Excel, C++, Java",23-11-25,BCA
Graphic Design,DigiOn,Work From Home,Immediately,1 Month,5000,No,Remote,Urban,Marketing,"Project Management, Machine Learning, Data Analysis, Communication, SQL",23-09-25,BCA
Digital Marketing,IMG Global Infotech Private Limited,Jaipur,Immediately,1 Month,7000,Yes,Hybrid,Urban,Research,"Machine Learning, Excel, Data Analysis, SQL, C++",05-10-25,BCA
Sales And Strategy,UrsDigitally,Kolkata,Immediately,1 Month,8000,Yes,Hybrid,Urban,Research,"Excel, Project Management, SQL, C++",01-12-25,MCA
Social Media Marketing,Naest Tutors,Work From Home,Immediately,1 Month,1000,Yes,Onsite,Urban,Research,"HTML/CSS, Python, Excel, Java",14-11-25,BSc
Volunteering,Human Care Educational Development & Welfare Society,Indore,Immediately,1 Month,Unpaid,Yes,Remote,Urban,Data Analyst,"C++, Python, Excel, Data Analysis",01-12-25,BSc
Digital Marketing,Onreal,Work From Home,Immediately,1 Month,5000,Yes,Hybrid,Urban,Data Analyst,"Project Management, C++, Python, Data Analysis",13-11-25,PhD
Social Media Marketing,CraftMyPlate,Work From Home,Immediately,1 Month,4000,No,Remote,Urban,Data Scientist,"Java, Machine Learning, Data Analysis, Excel, HTML/CSS",01-12-25,BTech
Digital Marketing,Flaxen Infosoft,Indore,Immediately,1 Month,5000,Yes,Hybrid,Rural,Finance,"Communication, C++, SQL",27-09-25,PhD
Content Writing,Blissful Plans,Work From Home,Immediately,1 Month,2000,Yes,Remote,Rural,Finance,"Python, HTML/CSS, SQL, Excel, C++",12-11-25,BCA
Internshala Dashboard Management,Pawzz,Work From Home,Immediately,1 Month,6000,No,Remote,Rural,Research,"Python, Communication, Machine Learning, Java, C++",29-10-25,MBA
Video Making/Editing,GoMechanic,Gurgaon,Immediately,1 Month,10000,Yes,Remote,Urban,Marketing,"Project Management, Python, Communication",22-10-25,BSc
Node.js Development,Webknot Technologies Private Limited,Work From Home,Immediately,1 Month,10000,Yes,Remote,Urban,Design,"HTML/CSS, Java, Project Management",10-11-25,MTech
Law/Legal,Unique Law,Work From Home,Immediately,1 Month,Unpaid,No,Onsite,Rural,HR,"Python, Digital Marketing, SQL",17-11-25,MTech
Graphic Design,GoMechanic,Gurgaon,Immediately,1 Month,10000,No,Remote,Rural,Data Analyst,"C++, Digital Marketing, SQL, Communication, Project Management",08-11-25,MTech
Influencer Outreach,"SocialArrow (Noida, India)",Rajasthan,Immediately,1 Month,7000,Yes,Remote,Urban,Software Development,"Python, Java, Machine Learning",20-09-25,PhD
Influencer Outreach,SocialArrow,Work From Home,Immediately,1 Month,5000,Yes,Remote,Rural,HR,"SQL, Machine Learning, Project Management, Digital Marketing, Communication",15-11-25,BTech
Mobile/Web App Software Engineering,Bempu Health,Bangalore,Immediately,1 Month,15000,No,Remote,Rural,Research,"HTML/CSS, C++, Java, SQL, Digital Marketing",12-10-25,MTech
Backend Development (Java),Monkhub,Delhi,Immediately,1 Month,10000,No,Hybrid,Urban,HR,"Python, Digital Marketing, HTML/CSS",15-11-25,PhD
Video Editing,Top Talent Bridge,Work From Home,Immediately,1 Month,3000,No,Hybrid,Rural,Finance,"Project Management, HTML/CSS, Machine Learning",30-11-25,BSc
Digital Marketing,PCERS,Delhi,Immediately,1 Month,5000,Yes,Hybrid,Rural,Data Analyst,"C++, Communication, HTML/CSS, Digital Marketing",22-10-25,MBA
Blockchain Development,Monkhub,Work From Home,Immediately,1 Month,7000,Yes,Onsite,Rural,Data Scientist,"C++, SQL, Communication, Python",25-09-25,BTech
Customer Service,Visit Health Private Limited,Bangalore,Immediately,1 Month,13500,No,Hybrid,Rural,Design,"Python, Data Analysis, HTML/CSS, Java, Machine Learning",24-11-25,BTech
Human Resources (HR),GetSetHome,Mumbai,Immediately,1 Month,6000,No,Hybrid,Urban,Software Development,"Data Analysis, Digital Marketing, C++",24-09-25,MTech
Graphics & Video Design,Untangle Design,Jaipur,Immediately,1 Month,5000,Yes,Remote,Rural,Research,"Communication, Data Analysis, Digital Marketing, Excel, Machine Learning",06-11-25,BCA
Digital Marketing,Analytics Vidhya,Gurgaon,Immediately,1 Month,20000,Yes,Onsite,Rural,HR,"Python, Digital Marketing, HTML/CSS, SQL",29-10-25,BSc
Fashion Design,349,Delhi,Immediately,1 Month,5000,Yes,Onsite,Rural,Marketing,"Data Analysis, Excel, Machine Learning, Project Management",20-11-25,BSc
Business Development (Sales),Webcap Technology,Thane,Immediately,1 Month,8000,Yes,Hybrid,Urban,Finance,"Excel, Project Management, SQL, HTML/CSS, Python",30-10-25,MTech
Counseling,Sa-Mudra Foundation,Bangalore,Immediately,1 Month,Unpaid,Yes,Hybrid,Urban,Software Development,"Digital Marketing, Excel, Machine Learning",12-09-25,PhD
Content Writing (Food & Education),Digihandler,Work From Home,Immediately,1 Month,4000,No,Remote,Urban,Software Development,"Communication, Project Management, C++",04-11-25,BCA
Graphic Design And Video Editing,English Connection,Panchkula,Immediately,1 Month,10000,No,Hybrid,Rural,Data Scientist,"HTML/CSS, SQL, Data Analysis",07-12-25,MBA
Graphic Design,Intouch Quality Services Private Limited,Dehradun,Immediately,1 Month,3000,Yes,Onsite,Rural,Software Development,"Project Management, Communication, Digital Marketing",11-09-25,PhD
Social Media Marketing,HouseUncle,Work From Home,Immediately,1 Month,1000,Yes,Remote,Urban,Research,"Data Analysis, C++, Java",29-10-25,MCA
Content Writing,Scoopearth,Work From Home,Immediately,1 Month,3000,No,Onsite,Rural,Software Development,"Communication, C++, HTML/CSS, Machine Learning",03-10-25,PhD
.Net - Full Stack Development,JALA Academy,Work From Home,Immediately,2,3000,Yes,Hybrid,Rural,Software Development,"HTML/CSS, Java, C++, Project Management, Excel",26-10-25,MCA
Brand Management,InnoThoughts,Nashik,Immediately,2,7000,No,Onsite,Urban,Research,"Python, SQL, Excel, Project Management, HTML/CSS",13-11-25,PhD
Content And Social Media Marketing,HRL Infotechs Private Limited,Jaipur,Immediately,2,10000,Yes,Onsite,Urban,Finance,"Python, Machine Learning, Communication, C++",10-10-25,MTech
Digital Marketing,Its Digital,Pune,Immediately,2,3000,Yes,Hybrid,Rural,HR,"Digital Marketing, Data Analysis, SQL",23-09-25,PhD
Social Media Marketing,Arya57 LLC,Work From Home,Immediately,2,3000,No,Onsite,Rural,Data Scientist,"Machine Learning, SQL, C++, Communication, Data Analysis",01-11-25,MBA
Digital Marketing,Startup Khata,Delhi,Immediately,2,4000,Yes,Onsite,Urban,Design,"Digital Marketing, Project Management, SQL",26-10-25,MCA
Robotics & IoT,Aeonix Research And Innovations,Kolkata,Immediately,2,4000,No,Onsite,Urban,Data Analyst,"C++, SQL, Machine Learning, Communication, Data Analysis",11-10-25,BTech
Admin & Marketing,Jellie Digital,Work From Home,Immediately,2,11000,Yes,Onsite,Rural,Software Development,"Machine Learning, Data Analysis, Java, Project Management",31-10-25,PhD
Digital Marketing,InnoThoughts,Bangalore,Immediately,2,7000,Yes,Remote,Rural,Marketing,"Python, Excel, Data Analysis",25-11-25,BSc
Search Engine Optimization (SEO),Worklooper Private Limited,Delhi,Immediately,2,6000,Yes,Onsite,Urban,Research,"Communication, C++, Excel, SQL, HTML/CSS",27-10-25,BCA
Administration,Tristar Management Services Private Limited,Mumbai,Immediately,2,5000,No,Onsite,Urban,Software Development,"Digital Marketing, Machine Learning, Excel",08-11-25,MTech
SEO,Debut Infotech Private Limited,Mohali,Immediately,2,5000,Yes,Remote,Urban,Design,"Java, C++, Digital Marketing, SQL, Python",07-10-25,MCA
Freight Broker,GREY M CONSULTING,Bangalore,Immediately,2,10000,No,Remote,Urban,Data Scientist,"Machine Learning, HTML/CSS, SQL",10-10-25,MCA
Content Writing,Internshala,Gurgaon,Immediately,2,18000,Yes,Onsite,Urban,HR,"Python, Data Analysis, SQL",01-11-25,MCA
Content Development (Mathematics & Science),Saraswati Vidyamandir,Work From Home,Immediately,2,2000,Yes,Hybrid,Rural,Software Development,"C++, SQL, HTML/CSS, Data Analysis, Python",30-10-25,BTech
Social Media Marketing,LAKDI-The Furniture Co.,Delhi,Immediately,2,8000,No,Remote,Urban,Finance,"Machine Learning, C++, Excel, Digital Marketing, HTML/CSS",06-12-25,BTech
Embedded Systems,Bempu Health,Bangalore,Immediately,2,10000,Yes,Hybrid,Rural,Software Development,"Excel, SQL, Communication, Machine Learning",25-10-25,MTech
Human Resources (HR),Dynamic Monks,Delhi,Immediately,2,5000,Yes,Remote,Rural,Data Scientist,"SQL, Machine Learning, C++, Java",23-09-25,BSc
Operations,Internshala Trainings,Gurgaon,Immediately,2,18000,Yes,Hybrid,Rural,Data Analyst,"Project Management, C++, Java, Python",26-10-25,PhD
Business Development (Sales),Sahaj Enterprises,Bangalore,Immediately,2,10000,Yes,Onsite,Urban,Design,"SQL, Java, Project Management, C++, HTML/CSS",29-11-25,BCA
Digital Marketing,1Millions Entrepreneurs International Forum,Ahmedabad,Immediately,2,Unpaid,Yes,Onsite,Rural,HR,"Project Management, Communication, SQL",25-11-25,MBA
Search Engine Optimization (SEO),Grow Digital Marketing Agency,Work From Home,Immediately,2,7000,No,Hybrid,Urban,Research,"SQL, Java, Data Analysis, Python",25-11-25,BTech
Sales executive,Vardaam Web Solutions Private Limited,Vadodara,Immediately,2,10000,Yes,Onsite,Rural,HR,"Machine Learning, Data Analysis, Project Management",25-11-25,MTech
Design Merchandising,Chase Lifestyle Private Limited,Kolkata,Immediately,2,7500,No,Hybrid,Urban,Finance,"Project Management, SQL, Python, HTML/CSS",10-11-25,BSc
Sales executive,Tackle,Agra,Immediately,2,8000,Yes,Onsite,Rural,Data Scientist,"Digital Marketing, Communication, SQL, Java",13-11-25,BTech
Motion Graphics,Webkul Software Private Limited,Noida,Immediately,2,4500,No,Remote,Urban,Finance,"Python, C++, SQL, Digital Marketing",27-11-25,MCA
Unity Game Development,IDZ Digital Private Limited,Work From Home,Immediately,2,8000,Yes,Remote,Rural,Finance,"Data Analysis, C++, Python, Machine Learning, Communication",27-11-25,BTech
Content Writing,Verve Media,Mumbai,Immediately,2,8000,No,Onsite,Rural,Data Analyst,"Project Management, C++, HTML/CSS, Python, Data Analysis",22-09-25,MBA
"Content Writing (Finance, Marketing, Law, HR Research)",LR Tech Solutions,Jaipur,Not specified,2,8000,No,Remote,Rural,Data Scientist,"Excel, Communication, HTML/CSS",24-09-25,MTech
Video Making/Editing,YMGrad,Work From Home,Immediately,2,10000,Yes,Hybrid,Urban,Research,"Machine Learning, HTML/CSS, C++, Project Management",17-09-25,BSc
Social Media Marketing,PopDiaries,Mumbai,Immediately,2,3000,Yes,Hybrid,Urban,Data Analyst,"Java, Communication, Machine Learning",24-09-25,MCA
Human Resources (HR),CareerBrain Consultancy,Bhilai,Immediately,2,4000,No,Hybrid,Urban,Research,"Project Management, Data Analysis, Python",25-10-25,MTech
Operations And Category,Yocket,Work From Home,Immediately,2,6000,Yes,Onsite,Rural,Marketing,"Excel, SQL, Project Management, Communication",02-12-25,MTech
Video Making/Editing,BESI Marketing Solutions,Work From Home,Immediately,2,8000,Yes,Remote,Rural,Data Scientist,"SQL, Project Management, Data Analysis",22-11-25,BTech
Power Electronics Engineering,Flextron (MARCN Technologies),Bangalore,Immediately,2,30000,No,Hybrid,Urban,HR,"Project Management, HTML/CSS, Java, Communication, Digital Marketing",12-09-25,BTech
Corporate Sales,Isourse,Delhi,Immediately,2,25000,No,Hybrid,Rural,HR,"Communication, HTML/CSS, C++, Digital Marketing, Python",22-10-25,PhD
Business Development (Sales),Revex Media,Work From Home,Immediately,2,5000,Yes,Hybrid,Urban,Research,"Machine Learning, C++, Excel, Python",12-11-25,BCA
Graphic Design,Solruf India Private Limited,Mumbai,Immediately,2,5000,Yes,Onsite,Rural,Data Scientist,"Communication, Project Management, Machine Learning, Java",16-10-25,BCA
Dev Ops Internship,NextGen Techno Ventures Private Limited,Thane,Immediately,2,7000,No,Remote,Rural,Data Scientist,"Data Analysis, SQL, Excel, Java, C++",20-09-25,PhD
PHP Development,Medicalbook,Work From Home,Immediately,2,3000,No,Hybrid,Urban,Research,"Python, SQL, Project Management, Excel",10-11-25,BCA
Law/Legal,Praveen Kumar Jain,Delhi,Immediately,4,Unpaid,No,Hybrid,Urban,Data Analyst,"Communication, SQL, Java, HTML/CSS, Excel",23-11-25,MTech
System Administration - Windows,Applus IDIADA Automotive Technology,Pune,Immediately,4,18000,No,Onsite,Urban,Design,"Project Management, C++, Excel",10-10-25,PhD
Business Management & Administration,Kraft Education,Mumbai,Immediately,4,10000,No,Remote,Rural,Research,"SQL, HTML/CSS, Machine Learning",13-09-25,BCA
Human Resources (HR),Headfone,Work From Home,Immediately,4,1000,Yes,Onsite,Urban,Data Analyst,"Communication, Machine Learning, Digital Marketing",02-12-25,PhD
Talent Acquisition,Headfone,Work From Home,Immediately,4,1000,Yes,Hybrid,Rural,Software Development,"HTML/CSS, Python, C++",13-11-25,BCA
Social Media Marketing,Pucho Online,Patna,Immediately,4,3000,No,Hybrid,Rural,Data Scientist,"SQL, Java, Machine Learning, Project Management",13-09-25,MCA
Marketing,Photon Legal,Work From Home,Immediately,4,5000,Yes,Onsite,Urban,HR,"Project Management, SQL, Communication",06-11-25,BSc
Business Development (Sales),Simplease,Mumbai,Immediately,4,5000,Yes,Remote,Urban,HR,"Java, Data Analysis, Project Management",08-10-25,BSc
Sales & Marketing,DailyBite,Bangalore,Immediately,4,8000,No,Onsite,Rural,Data Scientist,"Java, C++, Excel, Digital Marketing, Python",10-10-25,BCA
Web Development,Merak Labs Private Limited,Jaipur,Immediately,4,10000,Yes,Onsite,Urban,Software Development,"Data Analysis, Python, Excel, HTML/CSS",15-10-25,BSc
ASP.NET Development,Atlanta Systems Private Limited,Delhi,Immediately,4,15000,No,Onsite,Urban,Data Scientist,"SQL, Machine Learning, Java, Digital Marketing",16-11-25,BSc
Social Media Marketing,Proton Labs,Work From Home,Immediately,4,6000,No,Hybrid,Rural,HR,"Java, Project Management, C++",23-10-25,BSc
Social Media Marketing,Ampsys Consulting Private Limited,Bangalore,Immediately,4,5000,Yes,Onsite,Urban,Finance,"Machine Learning, Java, HTML/CSS, SQL",11-10-25,PhD
Advanced Excel Operations for Transaction Categorization,"Damian Knowles (Davie, United States)",Work From Home,Immediately,4," 4,165 /week",No,Remote,Rural,Design,"Python, Project Management, SQL",29-10-25,BTech
Human Resources (HR) - Candidate Branding & Onboarding,Top Talent Bridge,Work From Home,Immediately,4,3000,Yes,Onsite,Rural,Software Development,"Communication, C++, Python, HTML/CSS",30-10-25,PhD
Electronics Engineering,Sulekha Energy Solutions,Pune,Immediately,4,11000,Yes,Remote,Urban,Research,"HTML/CSS, Communication, Digital Marketing, C++, Python",25-09-25,BTech
Virtual Reality Unity 3D Development,Gesture Research,Delhi,Immediately,4,8000,Yes,Onsite,Urban,Software Development,"Communication, SQL, Project Management, C++, Python",28-11-25,BTech
Graphic Design,Editoo Media,Gurgaon,Immediately,4,8000,No,Onsite,Rural,Data Analyst,"Java, Project Management, Data Analysis",08-11-25,MTech
Video Making/Editing,Rentout.Homes,Gurgaon,Immediately,4,14000,No,Hybrid,Urban,Design,"Python, Project Management, SQL, HTML/CSS",31-10-25,MCA
Graphic Design,Modern Teams,Work From Home,Immediately,4,8000,No,Onsite,Rural,Data Analyst,"C++, Digital Marketing, Data Analysis",04-12-25,MCA
Digital Marketing,Max Standard Stores Private Limited,Delhi,Immediately,4,5000,Yes,Hybrid,Urban,Design,"Communication, Python, Excel, Digital Marketing, C++",17-09-25,MTech
Video Editing,Sachin Sharma,Work From Home,Immediately,4,2000,Yes,Hybrid,Urban,Marketing,"Communication, HTML/CSS, Java",14-10-25,MTech
Video Making/Editing,Woro Media LLP,Work From Home,Immediately,4,6000,Yes,Remote,Rural,Data Analyst,"Excel, Python, C++, HTML/CSS, SQL",06-10-25,BCA
Social Media & Influencer Marketing,Choudhary Trading Company,Work From Home,Immediately,4,12000,No,Onsite,Urban,Data Analyst,"Excel, Project Management, Communication",26-10-25,MTech
Teaching,Deepalaya,Delhi,Immediately,4,Unpaid,Yes,Hybrid,Urban,Software Development,"SQL, Data Analysis, Python, Excel",12-09-25,BSc
Video Making/Editing And Graphic Design,Archana  X,Noida,Immediately,4,5000,Yes,Onsite,Rural,Software Development,"Excel, Java, Digital Marketing, HTML/CSS, Python",23-11-25,BCA
Field Reporting & Copy Writing,Bengawalk,Bangalore,Immediately,4,10000,No,Hybrid,Urban,Finance,"Communication, SQL, Project Management, HTML/CSS, Python",21-09-25,MTech
Networking Information Technology,Plantix Agritech India Private Limited,Indore,Immediately,4,10000,Yes,Remote,Rural,HR,"HTML/CSS, C++, SQL",06-10-25,MCA
Video Making/Editing,Two Words,Work From Home,Immediately,4,12000,Yes,Hybrid,Urban,Research,"HTML/CSS, SQL, Python, Java, Machine Learning",27-10-25,BTech
Market Research Analyst,Masters India IT Solutions Private Limited,Work From Home,Immediately,4,5000,No,Onsite,Urban,HR,"Digital Marketing, C++, Python, SQL, Java",03-12-25,MTech
